date,state,fips,cases,deaths,dtc100,population,deaths100k
2020-01-21,Washington,53,1,0,0.0,7614893,0.0
2020-01-22,Washington,53,1,0,0.0,7614893,0.0
2020-01-23,Washington,53,1,0,0.0,7614893,0.0
2020-01-24,Washington,53,1,0,0.0,7614893,0.0
2020-01-25,Washington,53,1,0,0.0,7614893,0.0
2020-01-26,Washington,53,1,0,0.0,7614893,0.0
2020-01-27,Washington,53,1,0,0.0,7614893,0.0
2020-01-28,Washington,53,1,0,0.0,7614893,0.0
2020-01-29,Washington,53,1,0,0.0,7614893,0.0
2020-01-30,Washington,53,1,0,0.0,7614893,0.0
2020-01-31,Washington,53,1,0,0.0,7614893,0.0
2020-02-01,Washington,53,1,0,0.0,7614893,0.0
2020-02-02,Washington,53,1,0,0.0,7614893,0.0
2020-02-03,Washington,53,1,0,0.0,7614893,0.0
2020-02-04,Washington,53,1,0,0.0,7614893,0.0
2020-02-05,Washington,53,1,0,0.0,7614893,0.0
2020-02-06,Washington,53,1,0,0.0,7614893,0.0
2020-02-07,Washington,53,1,0,0.0,7614893,0.0
2020-02-08,Washington,53,1,0,0.0,7614893,0.0
2020-02-09,Washington,53,1,0,0.0,7614893,0.0
2020-02-10,Washington,53,1,0,0.0,7614893,0.0
2020-02-11,Washington,53,1,0,0.0,7614893,0.0
2020-02-12,Washington,53,1,0,0.0,7614893,0.0
2020-02-13,Washington,53,1,0,0.0,7614893,0.0
2020-02-14,Washington,53,1,0,0.0,7614893,0.0
2020-02-15,Washington,53,1,0,0.0,7614893,0.0
2020-02-16,Washington,53,1,0,0.0,7614893,0.0
2020-02-17,Washington,53,1,0,0.0,7614893,0.0
2020-02-18,Washington,53,1,0,0.0,7614893,0.0
2020-02-19,Washington,53,1,0,0.0,7614893,0.0
2020-02-20,Washington,53,1,0,0.0,7614893,0.0
2020-02-21,Washington,53,1,0,0.0,7614893,0.0
2020-02-22,Washington,53,1,0,0.0,7614893,0.0
2020-02-23,Washington,53,1,0,0.0,7614893,0.0
2020-02-24,Washington,53,5,0,0.0,7614893,0.0
2020-02-25,Washington,53,5,0,0.0,7614893,0.0
2020-02-26,Washington,53,5,0,0.0,7614893,0.0
2020-02-27,Washington,53,5,0,0.0,7614893,0.0
2020-02-28,Washington,53,7,0,0.0,7614893,0.0
2020-02-29,Washington,53,10,1,10.0,7614893,0.013132160885254724
2020-03-01,Washington,53,17,3,17.647058823529413,7614893,0.03939648265576417
2020-03-02,Washington,53,23,6,26.08695652173913,7614893,0.07879296531152834
2020-03-03,Washington,53,32,10,31.25,7614893,0.13132160885254723
2020-03-04,Washington,53,47,11,23.404255319148938,7614893,0.14445376973780194
2020-03-05,Washington,53,75,11,14.666666666666666,7614893,0.14445376973780194
2020-03-06,Washington,53,86,12,13.953488372093023,7614893,0.15758593062305667
2020-03-07,Washington,53,110,16,14.545454545454545,7614893,0.21011457416407558
2020-03-08,Washington,53,141,19,13.47517730496454,7614893,0.24951105681983973
2020-03-09,Washington,53,179,22,12.290502793296088,7614893,0.2889075394756039
2020-03-10,Washington,53,279,24,8.60215053763441,7614893,0.31517186124611335
2020-03-11,Washington,53,338,29,8.579881656804734,7614893,0.380832665672387
2020-03-12,Washington,53,419,32,7.637231503579953,7614893,0.42022914832815117
2020-03-13,Washington,53,511,37,7.240704500978473,7614893,0.4858899527544248
2020-03-14,Washington,53,609,40,6.568144499178982,7614893,0.5252864354101889
2020-03-15,Washington,53,675,42,6.222222222222222,7614893,0.5515507571806983
2020-03-16,Washington,53,794,48,6.045340050377834,7614893,0.6303437224922267
2020-03-17,Washington,53,908,54,5.947136563876652,7614893,0.709136687803755
2020-03-18,Washington,53,1026,68,6.627680311890838,7614893,0.8929869401973213
2020-03-19,Washington,53,1228,75,6.107491856677524,7614893,0.9849120663941043
2020-03-20,Washington,53,1404,83,5.911680911680912,7614893,1.089969353476142
2020-03-21,Washington,53,1655,95,5.740181268882175,7614893,1.2475552840991988
2020-03-22,Washington,53,1844,97,5.260303687635575,7614893,1.2738196058697082
2020-03-23,Washington,53,2101,110,5.2356020942408374,7614893,1.4445376973780195
2020-03-24,Washington,53,2469,123,4.981773997569866,7614893,1.615255788886331
2020-03-25,Washington,53,2585,130,5.029013539651837,7614893,1.7071809150831139
2020-03-26,Washington,53,3208,152,4.738154613466334,7614893,1.9960884545587179
2020-03-27,Washington,53,3770,179,4.748010610079575,7614893,2.3506567984605953
2020-03-28,Washington,53,4311,193,4.476919508234748,7614893,2.534507050854162
2020-03-29,Washington,53,4897,209,4.267919134163773,7614893,2.7446216250182376
2020-03-30,Washington,53,5180,221,4.2664092664092665,7614893,2.902207555641294
2020-03-31,Washington,53,5293,226,4.269790289061024,7614893,2.9678683600675675
2020-04-01,Washington,53,5589,250,4.4730721059223475,7614893,3.283040221313681
2020-04-02,Washington,53,6586,272,4.129972669298512,7614893,3.571947760789285
2020-04-03,Washington,53,6967,293,4.205540404765322,7614893,3.847723139379634
2020-04-04,Washington,53,7499,318,4.240565408721163,7614893,4.176027161511002
2020-04-05,Washington,53,7985,344,4.308077645585473,7614893,4.517463344527625
2020-04-06,Washington,53,8385,383,4.56768038163387,7614893,5.0296176190525586
2020-04-07,Washington,53,8683,409,4.710353564436255,7614893,5.371053802069182
2020-04-08,Washington,53,9098,430,4.7263134754891185,7614893,5.646829180659531
2020-04-09,Washington,53,9609,456,4.745551045894474,7614893,5.988265363676153
2020-04-10,Washington,53,9888,483,4.884708737864077,7614893,6.342833707578032
2020-04-11,Washington,53,10227,498,4.8694631856849515,7614893,6.539816120856852
2020-04-12,Washington,53,10414,511,4.906856155175725,7614893,6.710534212365164
2020-04-13,Washington,53,10547,525,4.9777187825922065,7614893,6.89438446475873
2020-04-14,Washington,53,10711,552,5.1535804313322755,7614893,7.248952808660608
2020-04-15,Washington,53,10806,572,5.293355543216731,7614893,7.511596026365702
2020-04-16,Washington,53,11180,588,5.259391771019678,7614893,7.721710600529778
2020-04-17,Washington,53,11479,610,5.314051746667828,7614893,8.01061814000538
2020-04-18,Washington,53,11850,629,5.308016877637131,7614893,8.260129196825222
2020-04-19,Washington,53,11864,637,5.369184086311531,7614893,8.365186483907259
