,GEO_ID,STATE,state,LSAD,CENSUSAREA,fips,cases,deaths,dtc100,population,deaths100k,date
53,0400000US23,23,Maine,,30842.923,23,1205,57,4.7302904564315345,1344212,4.240402555549274,2020-05-04
54,0400000US23,23,Maine,,30842.923,23,1226,61,4.975530179445349,1344212,4.5379746647106245,2020-05-05
55,0400000US23,23,Maine,,30842.923,23,1254,62,4.944178628389153,1344212,4.612367692000964,2020-05-06
56,0400000US23,23,Maine,,30842.923,23,1330,62,4.661654135338347,1344212,4.612367692000964,2020-05-07
57,0400000US23,23,Maine,,30842.923,23,1374,63,4.585152838427948,1344212,4.686760719291303,2020-05-08
58,0400000US23,23,Maine,,30842.923,23,1408,64,4.545454545454546,1344212,4.761153746581639,2020-05-09
59,0400000US23,23,Maine,,30842.923,23,1436,64,4.456824512534818,1344212,4.761153746581639,2020-05-10
60,0400000US23,23,Maine,,30842.923,23,1462,65,4.4459644322845415,1344212,4.835546773871979,2020-05-11
61,0400000US23,23,Maine,,30842.923,23,1477,65,4.400812457684496,1344212,4.835546773871979,2020-05-12
62,0400000US23,23,Maine,,30842.923,23,1515,66,4.356435643564357,1344212,4.9099398011623165,2020-05-13
63,0400000US23,23,Maine,,30842.923,23,1565,69,4.4089456869009584,1344212,5.1331188830333305,2020-05-14
64,0400000US23,23,Maine,,30842.923,23,1603,69,4.304429195258891,1344212,5.1331188830333305,2020-05-15
65,0400000US23,23,Maine,,30842.923,23,1648,70,4.247572815533982,1344212,5.207511910323669,2020-05-16
66,0400000US23,23,Maine,,30842.923,23,1687,70,4.149377593360995,1344212,5.207511910323669,2020-05-17
67,0400000US23,23,Maine,,30842.923,23,1713,71,4.144775248102744,1344212,5.281904937614008,2020-05-18
68,0400000US23,23,Maine,,30842.923,23,1741,73,4.192992533026995,1344212,5.430690992194684,2020-05-19
69,0400000US23,23,Maine,,30842.923,23,1819,73,4.013194062671797,1344212,5.430690992194684,2020-05-20
70,0400000US23,23,Maine,,30842.923,23,1877,73,3.8891848694725626,1344212,5.430690992194684,2020-05-21
71,0400000US23,23,Maine,,30842.923,23,1948,75,3.8501026694045177,1344212,5.5794770467753585,2020-05-22
72,0400000US23,23,Maine,,30842.923,23,2013,77,3.825136612021858,1344212,5.728263101356037,2020-05-23
73,0400000US23,23,Maine,,30842.923,23,2055,78,3.7956204379562037,1344212,5.802656128646373,2020-05-24
74,0400000US23,23,Maine,,30842.923,23,2074,78,3.760848601735777,1344212,5.802656128646373,2020-05-25
75,0400000US23,23,Maine,,30842.923,23,2109,79,3.745851114272167,1344212,5.877049155936713,2020-05-26
76,0400000US23,23,Maine,,30842.923,23,2137,81,3.790360318203089,1344212,6.025835210517387,2020-05-27
77,0400000US23,23,Maine,,30842.923,23,2189,84,3.837368661489265,1344212,6.249014292388402,2020-05-28
78,0400000US23,23,Maine,,30842.923,23,2226,85,3.8185085354896673,1344212,6.323407319678742,2020-05-29
79,0400000US23,23,Maine,,30842.923,23,2282,89,3.9000876424189306,1344212,6.6209794288400925,2020-05-30
80,0400000US23,23,Maine,,30842.923,23,2325,89,3.827956989247312,1344212,6.6209794288400925,2020-05-31
